CORTE,SECTOR / ZONA,ACTIVIDAD,FAMILIA,VENCE,EST,CAL,CAMP,AMB,BIM,SSOMA,OTROS,CHECKS PENDIENTES,TOTAL CHECKS,ANTIGUEDAD (dias),MARCADA,CLAVE ORDEN,LISTA TRELLO,DIA DEL CORTE,ESTADO,LINK TRELLO
2026-09-08 19:52,1CS10,ENCOFRADO DE FALSA ZAPATA,Encofrado,2026-09-01 17:00,3,7,2,1,2,3,0,18,18,7,,18.0023,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/HSz8GSrA
2026-09-08 19:52,1CS10,ACERO INFERIOR EN ZAPATAS,Acero,2026-09-04 17:00,7,4,1,2,0,4,0,18,18,4,,18.0024,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/FTMI93lK
2026-09-08 19:52,1CS7,TRAZO Y REPLANTEO PARA EXCAVACIÓN DE CIMENTACIONES,Trazo,2026-08-27 17:00,0,2,0,0,0,0,0,2,2,12,,2.0025,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/1aVNCM23
2026-09-08 19:52,1CS14,CONCRETO EN FALSA ZAPATA,Concreto,2026-08-27 17:00,3,5,7,2,1,3,0,21,21,12,,21.0026,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/0J0XZMFH
2026-09-08 19:52,1CS15,ENCOFRADO DE FALSA ZAPATA,Encofrado,2026-08-27 17:00,3,7,2,1,2,3,0,18,18,12,,18.0027,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/FVl6g1sn
2026-09-08 19:52,1CS11,ACERO VERTICAL DE COLUMNAS Y ESTRIBOS PARCIALES,Acero,2026-08-27 17:00,5,4,2,2,0,3,0,16,16,12,,16.0028,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/OpHAwcgD
2026-09-08 19:52,1CS13,RELLENO CON AFIRMADO COMPACTADO HASTA NIVEL DE ZAPATA,Relleno,2026-09-04 17:00,0,6,4,1,0,2,0,13,13,4,,13.0029,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/Qpu9dJSK
2026-09-08 19:52,1CS11,CONCRETO DE ZAPATA Y VIGA DE CIMENTACIÓN,Concreto,2026-09-01 17:00,3,5,5,1,1,2,0,17,17,7,,17.003,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/q4Emnbaa
2026-09-08 19:52,1CS7,EXCAVACIÓN DE CIMENTACIONES,Excavacion,2026-08-27 17:00,4,4,6,2,2,3,0,21,21,12,,21.0031,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/qHV6NQr7
2026-09-08 19:52,1CS4,CONCRETO DE ZAPATA Y VIGA DE CIMENTACIÓN,Concreto,2026-08-27 17:00,3,5,5,1,1,2,0,17,17,12,,17.0032,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/M69I0mLX
2026-09-08 19:52,1CS5,ENCOFRADO DE ZAPATA Y VIGA DE CIMENTACIÓN,Encofrado,2026-08-27 17:00,3,5,4,1,2,2,0,17,17,12,,17.0033,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/D82eDetJ
2026-09-08 19:52,1CS6,ACERO DE VIGA DE CIMENTACIÓN,Acero,2026-08-27 17:00,7,4,2,2,0,3,0,18,18,12,,18.0034,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/grTrcccE
